	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	perc_non_pos_npv	ratio_win_minley	win	lost	settement	drop
						
new_coyote	0.0988***	-0.00607	-0.00455	0.0205	-0.0870***	0.0711**
	(0.0333)	(0.0364)	(0.0225)	(0.0163)	(0.0327)	(0.0327)
abogado_pub	-0.0928***	0.126***	-0.0405**	0.0298*	0.0795***	-0.0688**
	(0.0294)	(0.0255)	(0.0165)	(0.0165)	(0.0285)	(0.0329)
salario_diario	2.00e-06	-1.24e-05	1.17e-07	-9.70e-06	-9.91e-06	1.95e-05
	(1.95e-05)	(9.03e-06)	(9.76e-06)	(7.95e-06)	(1.73e-05)	(1.63e-05)
c_antiguedad	-0.00772**	0.0100***	-7.25e-05	-0.00612***	0.00522	0.000975
	(0.00368)	(0.00208)	(0.00223)	(0.00117)	(0.00389)	(0.00342)
gen	-0.0598**	-0.0233	-0.0484***	0.00540	0.0522*	-0.00926
	(0.0279)	(0.0191)	(0.0153)	(0.0170)	(0.0290)	(0.0242)
Constant	0.411***	0.126***	0.120***	0.0744***	0.605***	0.200***
	(0.0331)	(0.0211)	(0.0189)	(0.0153)	(0.0322)	(0.0276)
						
Observations	1,137	1,137	1,137	1,137	1,137	1,137
R-squared	0.017	0.039	0.010	0.021	0.012	0.010
Dep. var mean	0.212	0.171	0.0867	0.0551	0.646	0.212
s	0.409	0.332	0.282	0.228	0.478	0.409
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
