
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="nivel_de_felicidad",="ultimos_3_meses_ha_dejado_de_pag",="ultimos_3_meses_le_ha_faltado_di",="trabaja_actualmente",="tiempo_arreglar_asunto_imputed"

="1.main_treatment",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.main_treatment",="0.13",="-0.070***",="-0.064**",="0.019",="1.16*"
="",="(0.11)",="(0.024)",="(0.025)",="(0.025)",="(0.66)"

="3.main_treatment",="0.28**",="-0.067**",="-0.069**",="0.021",="-0.65"
="",="(0.13)",="(0.031)",="(0.032)",="(0.031)",="(0.77)"

="mujer",="-0.30***",="0.041*",="0.043*",="-0.16***",="-0.39"
="",="(0.094)",="(0.022)",="(0.024)",="(0.023)",="(0.53)"

="antiguedad",="-0.025**",="-0.0025",="-0.0019",="-0.0085***",="0.084"
="",="(0.011)",="(0.0024)",="(0.0024)",="(0.0021)",="(0.053)"

="salario_diario",="0.0000055",="-0.000029",="-0.000044",="-0.000017",="0.0010**"
="",="(0.000069)",="(0.000032)",="(0.000039)",="(0.000020)",="(0.00044)"

="_cons",="8.15***",="0.59***",="0.55***",="0.57***",="16.6***"
="",="(0.098)",="(0.024)",="(0.027)",="(0.022)",="(0.56)"

="N",="2003",="2019",="2021",="2019",="1818"
="R-squared",="0.011",="0.0076",="0.0081",="0.030",="0.0085"
="DepVarMean",="8.04",="0.55",="0.51",="0.48",="17.3"
="BVC",="YES",="YES",="YES",="YES",="YES"
="Source",="2m",="2m",="2m",="2m",="2m"
="T2=T3",="0.21",="0.94",="0.88",="0.97",="0.025"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
