
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="conflicto_arreglado_2w",="ha_hablado_con_abogado_publico",="ha_hablado_con_abogado_publico",="conflicto_arreglado_2w",="conflicto_arreglado_2m",="ha_hablado_con_abogado_publico",="ha_hablado_con_abogado_publico",="conflicto_arreglado_2m",="conflicto_arreglado",="ha_hablado_con_abogado_publico",="ha_hablado_con_abogado_publico",="conflicto_arreglado",="entablo_demanda_2m",="ha_hablado_con_abogado_publico",="ha_hablado_con_abogado_publico",="entablo_demanda_2m"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="0.ha_hablado_con_abogado_publico",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0"
="",="(.)",="",="",="(0)",="(.)",="",="",="(0)",="(.)",="",="",="(0)",="(.)",="",="",="(0)"

="1.ha_hablado_con_abogado_publico",="-0.051",="",="",="-0.055",="0.14",="",="",="0.12",="0.14",="",="",="0.11",="-0.072",="",="",="-0.078"
="",="(0.15)",="",="",="(0.17)",="(0.18)",="",="",="(0.19)",="(0.17)",="",="",="(0.18)",="(0.16)",="",="",="(0.16)"

="mujer",="-0.013",="0.023",="0.063",="-0.013",="-0.036",="0.023",="0.063",="-0.036",="-0.035",="0.023",="0.063",="-0.035",="0.019",="0.021",="0.056",="0.019"
="",="(0.028)",="(0.028)",="(0.075)",="(0.027)",="(0.033)",="(0.028)",="(0.075)",="(0.032)",="(0.031)",="(0.028)",="(0.075)",="(0.030)",="(0.030)",="(0.029)",="(0.077)",="(0.029)"

="antiguedad",="0.0064**",="-0.0078***",="-0.021***",="0.0063*",="0.0051",="-0.0078***",="-0.021***",="0.0050",="0.0040",="-0.0078***",="-0.021***",="0.0038",="-0.0014",="-0.0079***",="-0.021***",="-0.0015"
="",="(0.0031)",="(0.0027)",="(0.0073)",="(0.0032)",="(0.0043)",="(0.0027)",="(0.0073)",="(0.0042)",="(0.0043)",="(0.0027)",="(0.0073)",="(0.0042)",="(0.0041)",="(0.0027)",="(0.0073)",="(0.0039)"

="salario_diario",="0.000016",="0.000067",="0.00018",="0.000016",="0.000033",="0.000067",="0.00018",="0.000035",="0.000011",="0.000067",="0.00018",="0.000012",="-0.000023",="0.000070",="0.00019",="-0.000023"
="",="(0.000048)",="(0.000061)",="(0.00017)",="(0.000051)",="(0.000067)",="(0.000061)",="(0.00017)",="(0.000073)",="(0.000064)",="(0.000061)",="(0.00017)",="(0.000071)",="(0.000060)",="(0.000062)",="(0.00017)",="(0.000063)"

="1.ab_treatment",="",="0",="0",="",="",="0",="0",="",="",="0",="0",="",="",="0",="0",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""

="2.ab_treatment",="",="0.20***",="0.53***",="",="",="0.20***",="0.53***",="",="",="0.20***",="0.53***",="",="",="0.20***",="0.54***",=""
="",="",="(0.031)",="(0.084)",="",="",="(0.031)",="(0.084)",="",="",="(0.031)",="(0.084)",="",="",="(0.030)",="(0.084)",=""

="gen_resid_pr",="",="",="",="-0.095",="",="",="",="-0.15",="",="",="",="-0.14",="",="",="",="0.15"
="",="",="",="",="(0.11)",="",="",="",="(0.12)",="",="",="",="(0.12)",="",="",="",="(0.098)"

="_cons",="0.28***",="0.48***",="-0.042",="0.28***",="0.41***",="0.48***",="-0.042",="0.43***",="0.47***",="0.48***",="-0.042",="0.49***",="0.46***",="0.49***",="-0.023",="0.47***"
="",="(0.091)",="(0.034)",="(0.087)",="(0.098)",="(0.11)",="(0.034)",="(0.087)",="(0.11)",="(0.11)",="(0.034)",="(0.087)",="(0.11)",="(0.11)",="(0.034)",="(0.088)",="(0.10)"

="N",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1181",="1166",="1166",="1166",="1166"
="R-sq",="0.028",="0.049",="",="0.057",=".",="0.049",="",="0.016",=".",="0.049",="",="0.016",=".",="0.050",="",="0.026"
="BVC",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES",="YES"
="Source",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m",="2w-2m"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
