	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	perc_non_pos_npv	ratio_win_minley	win	lost	settement	drop
						
new_coyote	0.0992***	-0.00627	-0.00244	0.0203	-0.0859**	0.0681**
	(0.0336)	(0.0362)	(0.0227)	(0.0165)	(0.0328)	(0.0329)
abogado_pub	-0.0939***	0.127***	-0.0403**	0.0296*	0.0818***	-0.0711**
	(0.0301)	(0.0258)	(0.0168)	(0.0167)	(0.0289)	(0.0329)
salario_diario	3.78e-06	-1.39e-05	8.75e-07	-9.43e-06	-1.11e-05	1.97e-05
	(1.94e-05)	(9.20e-06)	(9.87e-06)	(8.04e-06)	(1.73e-05)	(1.65e-05)
c_antiguedad	-0.00914**	0.0110***	-0.00146	-0.00619***	0.00651	0.00114
	(0.00378)	(0.00216)	(0.00207)	(0.00120)	(0.00401)	(0.00361)
gen	-0.0540*	-0.0236	-0.0460***	0.00706	0.0443	-0.00544
	(0.0285)	(0.0196)	(0.0158)	(0.0174)	(0.0296)	(0.0247)
Constant	0.412***	0.123***	0.122***	0.0740***	0.603***	0.201***
	(0.0340)	(0.0216)	(0.0195)	(0.0156)	(0.0332)	(0.0284)
						
Observations	1,101	1,101	1,101	1,101	1,101	1,101
R-squared	0.019	0.042	0.009	0.020	0.013	0.010
Dep. var mean	0.212	0.171	0.0867	0.0551	0.646	0.212
s	0.409	0.332	0.282	0.228	0.478	0.409
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
