
="",="(1)",="(2)",="(3)",="(4)"
="",="bajo_inm_prob_d",="bajo_inm_prob",="bajo_inm_quant_d",="bajo_inm_quant"

="Control",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Calculator",="0.31***",="-0.025",="0.26***",="2.49"
="",="(0.020)",="(0.019)",="(0.029)",="(2.45)"

="Calculator + letter",="0.28***",="-0.051***",="0.25***",="0.25*"
="",="(0.024)",="(0.011)",="(0.033)",="(0.13)"

="mujer",="0.0078",="0.0075",="-0.022",="2.07"
="",="(0.017)",="(0.017)",="(0.022)",="(2.08)"

="antiguedad",="-0.0026",="0.0021",="0.0047",="-0.017"
="",="(0.0016)",="(0.0013)",="(0.0032)",="(0.019)"

="salario_diario",="-0.0000075",="-0.0000025",="-0.0000055",="-0.00023"
="",="(0.0000081)",="(0.0000040)",="(0.0000085)",="(0.00034)"

="Constant",="0.0077",="-0.0098",="-0.0041",="-0.69"
="",="(0.0098)",="(0.011)",="(0.014)",="(0.69)"

="Observations",="1722",="1722",="790",="790"
="R-squared",="0.143",="0.005",="0.128",="0.004"
="Source",="2m",="2m",="2m",="2m"
="BVC",="YES",="YES",="YES",="YES"
="Obs per group",="675/625/422",="675/625/422",="320/266/204",="320/266/204"
="Days per group",="90/103/75",="90/103/75",="82/91/67",="82/91/67"
="T2 = T3",="0.40",="0.25",="0.88",="0.36"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
