junta,exp,anio,Identificador,NumAbogado,Contador,Folio
8,841,2018,8_841_2018,24,53,24_53
8,1347,2017,8_1347_2017,24,54,24_54
18,1000,2018,18_1000_2018,24,55,24_55
3,269,2018,3_269_2018,24,56,24_56
19,20,2018,19_20_2018,24,57,24_57
11,2523,2018,11_2523_2018,24,58,24_58
12,671,2018,12_671_2018,24,59,24_59
14,1321,2017,14_1321_2017,24,60,24_60
9,2250,2017,9_2250_2017,24,61,24_61
11,2464,2018,11_2464_2018,24,62,24_62
5,1007,2018,5_1007_2018,24,63,24_63
15,415,2019,15_415_2019,24,64,24_64
11,2109,2018,11_2109_2018,24,65,24_65
15,1411,2017,15_1411_2017,24,66,24_66
9,1220,2018,9_1220_2018,24,67,24_67
9,679,2018,9_679_2018,24,68,24_68
12,1465,2018,12_1465_2018,24,69,24_69
2,852,2018,2_852_2018,24,70,24_70
11,3027,2017,11_3027_2017,24,71,24_71
12,3017,2017,12_3017_2017,24,72,24_72
5,547,2017,5_547_2017,24,73,24_73
12,1138,2019,12_1138_2019,24,74,24_74
9,1132,2018,9_1132_2018,24,75,24_75
2,645,2018,2_645_2018,24,76,24_76
11,1420,2018,11_1420_2018,24,77,24_77
20,820,2017,20_820_2017,24,78,24_78
12,2448,2017,12_2448_2017,24,79,24_79
11,3064,2017,11_3064_2017,24,80,24_80
12,2218,2018,12_2218_2018,24,81,24_81
10,936,2018,10_936_2018,24,82,24_82
14,947,2018,14_947_2018,24,83,24_83
11,1972,2018,11_1972_2018,24,84,24_84
15,254,2018,15_254_2018,24,85,24_85
15,417,2018,15_417_2018,24,86,24_86
1,1543,2017,1_1543_2017,24,87,24_87
11,165,2019,11_165_2019,24,88,24_88
1,400,2018,1_400_2018,24,89,24_89
7,1614,2018,7_1614_2018,24,90,24_90
19,1051,2017,19_1051_2017,24,91,24_91
7,2233,2017,7_2233_2017,24,92,24_92
7,1518,2018,7_1518_2018,24,93,24_93
9,1148,2018,9_1148_2018,24,94,24_94
16,977,2018,16_977_2018,24,95,24_95
12,1059,2018,12_1059_2018,24,96,24_96
3,1419,2017,3_1419_2017,24,97,24_97
12,756,2018,12_756_2018,24,98,24_98
12,597,2018,12_597_2018,24,99,24_99
5,774,2018,5_774_2018,24,100,24_100
7,1194,2018,7_1194_2018,24,101,24_101
18,1543,2017,18_1543_2017,24,102,24_102
3,992,2018,3_992_2018,24,103,24_103
3,480,2018,3_480_2018,24,104,24_104
1,234,2018,1_234_2018,24,105,24_105
4,599,2018,4_599_2018,24,106,24_106
2,1403,2017,2_1403_2017,24,107,24_107
7,1021,2018,7_1021_2018,24,108,24_108
5,177,2018,5_177_2018,24,109,24_109
9,2237,2017,9_2237_2017,24,110,24_110
10,2120,2017,10_2120_2017,24,111,24_111
1,838,2018,1_838_2018,24,112,24_112
12,781,2018,12_781_2018,24,113,24_113
3,87,2018,3_87_2018,24,114,24_114
10,1349,2018,10_1349_2018,24,115,24_115
19,91,2018,19_91_2018,24,116,24_116
15,371,2018,15_371_2018,24,117,24_117
3,821,2019,3_821_2019,24,118,24_118
12,519,2018,12_519_2018,24,119,24_119
7,453,2018,7_453_2018,24,120,24_120
10,237,2018,10_237_2018,24,121,24_121
