junta,exp,anio,Identificador,NumAbogado,Contador,Folio,
8,1786,2018,8_1786_2018,25,131,25_131,
7,490,2018,7_490_2018,25,132,25_132,
12,2492,2017,12_2492_2017,25,133,25_133,
2,1779,2018,2_1779_2018,25,134,25_134,
5,370,2018,5_370_2018,25,135,25_135,
7,436,2018,7_436_2018,25,136,25_136,
5,1081,2018,5_1081_2018,25,137,25_137,
1,1910,2017,1_1910_2017,25,138,25_138,
5,233,2018,5_233_2018,25,139,25_139,
8,1981,2017,8_1981_2017,25,140,25_140,
11,868,2018,11_868_2018,25,141,25_141,
16,717,2018,16_717_2018,25,142,25_142,
11,3026,2017,11_3026_2017,25,143,25_143,
16,536,2018,16_536_2018,25,144,25_144,
8,1454,2018,8_1454_2018,25,145,25_145,
1,1109,2018,1_1109_2018,25,146,25_146,
7,1252,2018,7_1252_2018,25,147,25_147,
8,1734,2018,8_1734_2018,25,148,25_148,
5,1083,2018,5_1083_2018,25,149,25_149,
16,318,2018,16_318_2018,25,150,25_150,
13,842,2018,13_842_2018,25,151,25_151,
6,524,2018,6_524_2018,25,152,25_152,
3,166,2018,3_166_2018,25,153,25_153,
1,2115,2017,1_2115_2017,25,154,25_154,
11,1806,2018,11_1806_2018,25,155,25_155,
19,707,2018,19_707_2018,25,156,25_156,
2,1327,2017,2_1327_2017,25,157,25_157,
7,612,2018,7_612_2018,25,158,25_158,
6,235,2018,6_235_2018,25,159,25_159,
18,805,2018,18_805_2018,25,160,25_160,
11,171,2018,11_171_2018,25,161,25_161,
11,1055,2018,11_1055_2018,25,162,25_162,
7,1272,2018,7_1272_2018,25,163,25_163,
2,753,2018,2_753_2018,25,164,25_164,
10,1681,2018,10_1681_2018,25,165,25_165,
9,1005,2018,9_1005_2018,25,166,25_166,
13,1422,2017,13_1422_2017,25,167,25_167,
18,1567,2018,18_1567_2018,25,168,25_168,
3,846,2018,3_846_2018,25,169,25_169,
17,35,2018,17_35_2018,25,170,25_170,
9,1785,2017,9_1785_2017,25,171,25_171,
18,1506,2018,18_1506_2018,25,172,25_172,
8,1029,2018,8_1029_2018,25,173,25_173,
12,2440,2018,12_2440_2018,25,174,25_174,
11,2251,2017,11_2251_2017,25,175,25_175,
11,2835,2017,11_2835_2017,25,176,25_176,
12,2054,2018,12_2054_2018,25,177,25_177,
2,1210,2018,2_1210_2018,25,178,25_178,
10,436,2018,10_436_2018,25,179,25_179,
7,325,2018,7_325_2018,25,180,25_180,
2,1293,2018,2_1293_2018,25,181,25_181,
14,1436,2017,14_1436_2017,25,182,25_182,
4,573,2018,4_573_2018,25,183,25_183,
11,1531,2018,11_1531_2018,25,184,25_184,
18,1378,2017,18_1378_2017,25,185,25_185,
19,565,2018,19_565_2018,25,186,25_186,
3,1094,2018,3_1094_2018,25,187,25_187,
11,1017,2018,11_1017_2018,26,1,26_1,
17,151,2018,17_151_2018,26,2,26_2,
12,837,2018,12_837_2018,26,3,26_3,
6,1001,2018,6_1001_2018,26,4,26_4,
19,365,2018,19_365_2018,26,5,26_5,
4,702,2018,4_702_2018,26,6,26_6,
7,486,2018,7_486_2018,26,7,26_7,
18,412,2018,18_412_2018,26,8,26_8,
9,550,2018,9_550_2018,26,9,26_9,
3,408,2018,3_408_2018,26,10,26_10,
2,1449,2017,2_1449_2017,26,11,26_11,
9,942,2018,9_942_2018,26,12,26_12,
11,1901,2018,11_1901_2018,26,13,26_13,
11,3055,2017,11_3055_2017,26,14,26_14,
14,1155,2018,14_1155_2018,26,15,26_15,
4,735,2017,4_735_2017,26,16,26_16,
10,1483,2018,10_1483_2018,26,17,26_17,
1,582,2018,1_582_2018,26,18,26_18,
10,1434,2018,10_1434_2018,26,19,26_19,
15,1535,2017,15_1535_2017,26,20,26_20,
12,1737,2017,12_1737_2017,26,21,26_21,
1,2018,2017,1_2018_2017,26,22,26_22,
1,1817,2017,1_1817_2017,26,23,26_23,
8,151,2018,8_151_2018,26,24,26_24,
10,1182,2017,10_1182_2017,26,25,26_25,
9,848,2018,9_848_2018,26,26,26_26,
7,2045,2017,7_2045_2017,26,27,26_27,
4,516,2018,4_516_2018,26,28,26_28,
7,2016,2017,7_2016_2017,26,29,26_29,
7,70,2018,7_70_2018,26,30,26_30,
18,984,2017,18_984_2017,26,31,26_31,
7,376,2018,7_376_2018,26,32,26_32,
2,1156,2017,2_1156_2017,26,33,26_33,
8,1354,2018,8_1354_2018,26,34,26_34,
2,1271,2018,2_1271_2018,26,35,26_35,
10,1660,2018,10_1660_2018,26,36,26_36,
9,185,2018,9_185_2018,26,37,26_37,
9,1045,2017,9_1045_2017,26,38,26_38,
9,257,2018,9_257_2018,26,39,26_39,
9,58,2018,9_58_2018,26,40,26_40,
10,1489,2018,10_1489_2018,26,41,26_41,
2,918,2018,2_918_2018,26,42,26_42,
5,907,2018,5_907_2018,26,43,26_43,
7,808,2019,7_808_2019,26,44,26_44,
7,19,2018,7_19_2018,26,45,26_45,
1,1461,2017,1_1461_2017,26,46,26_46,
12,2684,2018,12_2684_2018,26,47,26_47,
12,1676,2018,12_1676_2018,26,48,26_48,
7,973,2018,7_973_2018,26,49,26_49,
2,1119,2018,2_1119_2018,26,50,26_50,
1,282,2018,1_282_2018,26,51,26_51,
16,1063,2017,16_1063_2017,26,52,26_52,
9,365,2018,9_365_2018,26,53,26_53,
18,419,2018,18_419_2018,26,54,26_54,
