despacho,junta,exp,anio,modo_termino,npv,liq_total,liq_total_tope,liq_total_pos,gen,horas_sem,salario_diario,abogado_pub,c_antiguedad,trabajador_base,indem,sal_caidos,prima_antig,prima_vac,hextra,prima_dom,desc_sem,desc_ob,sarimssinf,utilidades,nulidad,codem,reinst,salario_base_diario,c_indem,c_prima_antig,c_rec20,c_ag,c_vac,c_hextra,c_prima_vac,c_prima_dom,c_desc_sem,c_desc_ob,c_utilidades,c_recsueldo,c_total,c_sal_caidos,comp_esp_p1,comp_esp_p2,min_ley,dw_scian,fechadem,fechater,giro_empresa
27,11,978,2011,1,7790.3945,11000,11000,1,0,54,239.6180618171474,0,6.5300002,0,1,1,1,1,1,1,1,1,0,1,1,0,1,149.195254699204,21565.627,11140.284,31288.203,3182.2339,3187.5464,86893.617,796.89258,12681.93,101455.48,13637.216,17827.84,22255.895,325912.75,92708.227,24579.414,73659.156,35030.754,182.66093,27jun2011,07sep2011,46
27,11,1319,2011,1,25898.264,33000,33000,1,0,60,315.6285375812258,0,6.48,0,1,1,1,1,1,1,0,1,0,1,1,0,1,170.7459925297225,28406.568,10995.26,40936.598,4203.1289,5805.3281,223743.98,1451.3292,14427.941,0,15501.76,35429.379,106578.41,487479.72,117950.38,32981.313,75140.445,42484.586,181.50162,26aug2011,23sep2011,46
41,2,694,2011,2,-1188.4634,0,0,0,0,60,322.5846030613025,0,.15000001,0,1,1,0,1,1,0,0,0,1,1,1,0,1,,29032.461,0,936.81812,8913.4746,4456.7373,8189.2607,1114.1843,0,0,0,17826.949,80645.727,151115.61,178517.38,4515.583,17291.215,30250.053,131.92053,12may2011,28jan2013,72
41,9,1103,2011,2,-1188.5227,0,0,0,0,60,297.1306753349876,0,1.23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,26741.762,2094.3552,7293.9521,5470.4614,2323.3123,74876.93,580.83105,4754.0908,38032.727,5105.7632,17827.84,1485.6533,186587.69,144019.23,,24772.881,30732.867,550.60004,10jun2011,12jul2012,52
41,9,1177,2011,3,-1188.5227,0,0,0,0,60,309.0159023483872,0,.050000001,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,27811.432,79.476517,287.84833,215.88327,86.120354,2433.5002,21.524147,154.50795,1236.0636,201.49025,17827.84,1854.0955,52209.793,226632.27,7244.6689,8396.7393,28214.436,396.36212,21jun2011,30oct2014,62
41,9,1435,2011,1,89464.641,135000,135000,1,1,66,767.636568988239,0,3.6400001,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,69087.289,6178.1514,55942.824,41957.125,24328.824,957146.88,6082.209,36462.738,0,39159.973,35429.379,334690.84,2294060.8,461426.34,40217.41,83745.297,89082.906,,02aug2011,26sep2013,0
41,16,336,2011,1,8078.3188,12500,12500,1,0,60,412.8629940331513,0,.1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,,37157.668,162.39671,791.78864,593.83856,237.53777,8128.2461,59.381496,0,0,0,17694.129,0,64824.988,201724.86,4418.5244,37304.773,38219.316,395.94266,18mar2011,02may2012,54
51,7,130,2011,1,10237.396,15000,15000,1,1,60,316.3401610728469,0,.5178082,0,1,1,1,1,1,0,0,1,0,0,0,0,0,,28470.615,847.11481,0,2457.1145,982.84583,33631.754,245.71146,0,0,2293.3069,0,632.68036,69561.141,,15531.424,64633.387,33003.402,399.19519,21jan2011,14dec2011,43
51,9,975,2011,2,-1188.4634,0,0,0,1,60,554.6201846170948,0,11.16,0,1,1,1,1,1,0,0,1,1,0,0,0,1,,49915.461,19035.236,0,10256.604,10186.7,1211281.9,2546.675,0,0,86623.453,0,14420.018,1404266,210754.16,34589.32,67427.641,72529.117,396.34232,25may2011,13jul2011,62
51,9,1258,2011,1,88790.297,120000,120000,1,0,55,805.873880080929,0,2.3099999,0,1,1,1,1,1,0,0,1,1,1,0,0,1,512.5632297893277,72528.648,3926.7693,0,11058.724,8776.7627,322914.84,2194.1936,0,0,16593.006,0,7252.8652,445245.81,385046.53,,67270.664,81826.813,547.97083,04jul2011,13jul2012,52
51,11,162,2011,1,-603.64374,1000,1000,1,1,54,818.420136962973,0,.17,0,1,1,0,1,1,0,1,1,0,0,0,0,0,,73657.813,0,0,2118.9429,847.57947,29003.064,211.89784,0,14731.717,1977.6776,0,17837.264,140385.95,627728.25,19311.344,100928.38,77118.594,182.32014,26jan2011,26sep2014,46
51,16,1311,2011,1,37813.313,51000,51000,1,1,66,563.3925657195611,0,.37,0,1,1,0,1,1,0,0,0,1,0,0,0,0,,50705.328,0,0,3125.7139,1246.8705,70248.977,311.71472,0,0,0,0,1690.1777,127328.78,243329.25,2311.6323,49098.176,56004.363,308.74374,10nov2011,19jun2012,61
65,2,763,2011,2,-1188.4634,0,0,0,1,63,150.5307660308167,0,.18000001,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,13547.77,303.85443,0,402.10468,160.40689,3161.1462,40.098755,0,0,0,0,752.65381,18368.021,56569.461,6525.3979,5407.9248,14454.223,131.92053,24may2011,28jun2011,72
65,2,818,2011,1,4421.9546,7000,7000,1,0,52.5,164.6935907246769,0,.25,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,14822.577,430.0907,0,622.67889,249.0787,3122.3442,62.266705,0,0,0,0,988.1734,20297.211,67129.797,13135.73,6812.1675,16186.692,131.92712,01jun2011,20oct2011,72
65,7,1974,2011,3,-1157.6719,0,0,0,0,84,661.5168287993087,0,1.1863014,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,59536.516,1971.6877,0,11771.552,4952.4131,441362.38,1238.1033,0,0,0,0,15220.259,536052.94,,9498.1836,56934.086,71599.914,388.57947,25nov2011,27feb2014,54
65,11,944,2011,2,-1188.5227,0,0,0,1,66,118.8522701339951,0,.079999998,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,10696.704,117.22399,0,146.53296,58.451546,887.4342,14.61883,0,0,0,0,1782.7841,13703.737,45270.828,9287.6279,23484.223,11033.52,182.66093,20jun2011,11aug2011,46
65,16,224,2011,1,8811.5195,12400,12400,1,1,52.5,236.3743079803558,0,.079999998,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,21273.688,139.46085,0,291.42587,116.56799,1378.8541,29.144953,0,0,0,0,0,23229.129,93367.852,5436.2905,8231.5889,21850.275,315.19766,21feb2011,31may2011,61
69,2,30,2011,3,292684.22,422978,376978,1,0,60,889.7289462410379,0,1.0700001,0,1,1,1,1,1,0,0,0,1,0,0,0,0,474.5221046618869,80075.602,1748.0089,0,7605.3555,3107.147,156147.44,776.78082,0,0,0,0,43300.141,292760.5,504921.19,10490.207,190616.41,88934.961,131.68098,05jan2011,09nov2012,72
69,2,921,2011,1,20482.508,27500,27500,1,0,66,950.8181610719604,0,3.3399999,1,1,1,0,1,1,0,0,0,1,1,0,0,0,594.2613506699752,85573.633,0,0,4029.5791,2383.5586,678572.19,595.88965,0,0,0,0,14262.272,785417.13,405809.19,78969.375,83229.211,98276.688,131.92712,21jun2011,12jan2012,72
69,7,1108,2011,2,-1188.5227,0,0,0,0,60,475.4090805359802,0,1.6630137,0,1,1,1,1,1,0,0,0,1,0,0,1,0,237.7045402679901,42786.816,2837.6638,0,5929.5884,2687.0383,80492.703,671.75958,0,0,0,0,42786.816,178192.39,,14668.853,62408.422,48682.082,283.23911,28jun2011,21mar2012,56
69,7,1472,2011,1,26221.365,36000,36000,1,1,66,826.6855358334882,0,1.4657534,0,1,1,1,1,1,0,0,0,1,1,0,0,0,590.4896684524916,74401.695,2485.1973,0,12982.684,5737.1069,176704.03,1434.2767,0,0,0,0,15352.731,289097.72,,4203.2832,19025.016,85332.281,396.40277,29aug2011,06jul2012,54
69,11,466,2011,1,10416.495,15000,15000,1,0,60,943.6868435043458,0,1.01,1,1,1,1,1,1,0,0,0,1,0,0,0,0,235.9217108760865,84931.813,1702.824,0,3558.2183,1425.8755,48304.969,356.46591,0,0,0,0,14155.303,154435.45,415222.22,87453.281,66482.422,87238.953,181.29094,18mar2011,22nov2011,46
81,2,6,2011,2,-1186.3053,0,0,0,0,60,276.8006067018952,0,.28999999,0,1,1,1,1,1,0,0,0,0,1,1,0,0,,24912.053,475.10339,0,1205.7844,482.31613,16348.532,120.57607,0,0,0,10083.595,830.40179,54458.375,102859.11,16191.723,71538.922,27195.834,131.68098,03jan2011,24jan2011,72
81,7,1745,2011,2,-1170.1932,0,0,0,0,60,370.5534015700538,0,2.6383562,0,1,1,1,1,1,0,1,1,1,1,1,0,0,292.5483180462119,33349.805,4432.4995,0,3197.9939,1867.5002,168332.3,466.87506,0,80158.242,10805.853,8600.9209,2593.874,313805.88,,8516.5254,78409.836,43314.676,390.24942,11oct2011,22nov2011,62
81,9,250,2011,2,-1181.8716,0,0,0,0,60,886.4036549263341,0,8.9399996,1,1,1,1,1,1,0,1,1,1,1,0,0,0,,79776.328,15173.48,0,39888.164,26592.109,1088946.9,6648.0273,0,775043,110972.88,7327.6035,8864.0361,2210317.8,463145.91,112867.16,74986.695,109927.6,396.70224,03feb2011,11jul2012,54
81,16,404,2011,3,-1179.7021,0,0,0,0,60,471.8808531562797,0,1.13,0,1,1,1,1,1,0,1,1,1,0,0,1,0,,42469.277,1921.0507,0,21234.639,14156.426,109623.82,3539.1064,0,55681.941,7493.208,0,7078.2129,263197.69,376796.88,10276.019,16692.02,46769.117,314.61908,06apr2011,20mar2015,61
81,16,1190,2011,3,-1170.1932,0,0,0,0,66,222.336721715121,0,1.74,0,1,1,1,1,1,0,1,1,1,1,0,1,0,,20010.305,2918.1812,0,5792.9365,2644.8943,78790.578,661.21771,0,40020.609,5406.7373,8776.4492,889.34686,165911.27,165529.69,12815.181,45242.91,27107.201,179.84393,07oct2011,24mar2015,46
